titles;is_service
Авербандник ;1
Авіаційний механік з планера та двигунів;1
Авіаційний механік з приладів та електроустаткування ;1
Авіаційний механік з радіоустаткування ;1
Авіаційний технік (механік) з парашутних та аварійно-рятувальних засобів ;1
Авіаційний технік з паливно-мастильних матеріалів ;1
Авіаційний технік з планера та двигунів ;1
Авіаційний технік з приладів та електроустаткування;1
Авіаційний технік з радіоустаткування;1
Автоклавник (виробництво скла та скловиробів) ;1
Автоклавник (виробництво теплоізоляційних матеріалів) ;1
Автоклавник (виробництво цитринової та виннокам'яної кислот) ;1
Автоклавник лиття під тиском ;1
Автоклавник на запарюванні брикетів ;1
Автоклавник-сушильник акумуляторних пластин у виробництві свинцевих акумуляторів ;1
Автоматник в'язальних автоматів ;1
Автоматник голково-платинних виробів ;1
Автоматник елементного виробництва ;1
Автоматник з вироблення деталей клавішних інструментів ;1
Автоматник картонажного виробництва ;1
Автоматник клеїльних напівавтоматів ;1
Автоматник на вузлов'язальних та навивальних автоматах та верстатах ;1
Автоматник ремізних автоматів ;1
Автоматник холодновисаджувальних автоматів ;1
Автоматник ;1
Авторемонтник ;1
Агент з доставки замовлених квитків ;1
Агент з митного оформлення;1
Агент з нерухомості ;1
Агент з організації обслуговування авіаперевезень ;1
Агент з організації туризму ;1
Агент з передачі вантажу на прикордонній станції (пункті) ;1
Агент з постачання ;1
Агент з приймання замовлень на квитки ;1
Агент з розшуку вантажів та багажу ;1
Агент із замовлень населення на перевезення ;1
Агент комерційний;1
Агент морський ;1
Агент податковий ;1
Агент рекламний ;1
Агент страховий ;1
Агент торговельний ;1
Агент ;1
Агломератник ;1
Агролісомеліоратор ;1
Агрометеоролог ;1
Агроном аеродрому ;1
"Агроном відділення (бригади, сільськогосподарської дільниці, ферми, цеху) ";1
Агроном з насінництва ;1
Агроном із захисту рослин ;1
Агроном ;1
Агроном-дослідник ;1
Агроном-інспектор ;1
Агротехнік ;1
Агрохімік ;1
Адвокат ;1
Адміністративний помічник;0
Адміністратор (господар) залу ;0
Адміністратор (органи державної влади та місцевого самоврядування);0
Адміністратор бази даних ;1
Адміністратор даних ;1
Адміністратор доступу (груповий) ;1
Адміністратор доступу ;1
Адміністратор задач ;1
Адміністратор знімальної групи ;1
Адміністратор кінотеатру ;1
Адміністратор мереж і систем;1
Адміністратор пасажирської служби ;1
Адміністратор програм радіо та телебачення;1
Адміністратор системи ;1
Адміністратор телевізійних передач ;1
Адміністратор черговий ;1
Адміністратор ;1
Аерографіст (виробництво скла та скловиробів) ;1
Аерографіст (поліграфічне виробництво) ;1
Аерографіст щипкових інструментів ;1
Аерографник ;1
Аеродинамік ;1
Аеродромний робітник ;1
Аерозольник ;1
Аеролог ;1
Аерофотогеодезист ;1
Аерофотозйомник ;1
"Академік-секретар національної академії (наук, мистецтв і т. ін.) України ";1
Академік-секретар ;1
Аквадувальник ;1
Акліматизатор ;1
Акомпаніатор ;1
Акробат (цирковий) ;1
"Актор (артист) театру, кіно та ін.";1
Актор (заклади культури та мистецтва) ;1
Актуарій ;1
Акумуляторник ;1
Акушерка (акушер);1
Алундувальник ;1
Алюмініювальник електротехнічних виробів ;1
Алюмініювальник ;1
Аналітик (банківська діяльність);1
Аналітик з безпеки інформаційно-телекомунікаційних систем;1
Аналітик з інвестицій ;1
Аналітик з комп'ютерних комунікацій ;1
Аналітик з кредитування ;1
Аналітик з модельної діяльності ;1
Аналітик з питань фінансово-економічної безпеки ;1
Аналітик загроз безпеки;1
Аналітик комп'ютерних систем ;1
Аналітик комп'ютерного банку даних ;1
Аналітик комунікацій (крім комп'ютерів) ;1
Аналітик консолідованої інформації ;1
Аналітик операційного та прикладного програмного забезпечення ;1
Аналітик програмного забезпечення та мультимедіа ;1
Аналітик систем (крім комп'ютерів) ;1
Аналітик систем захисту інформації та оцінки вразливостей;1
Аналітик у сфері професійної зайнятості ;1
Ангобувальник санітарно-будівельних виробів ;1
Ангобувальник ;1
Андоник у виробництві алюмінію ;1
Андрагог;1
Антенник-щогловик ;1
Антикорозійних ;1
Антрополог ;1
Апаратник абсолютування ;1
Апаратник абсорбції ;1
Апаратник адсорбції ;1
Апаратник азотування ;1
Апаратник активації ;1
Апаратник алкілування ;1
Апаратник амінування ;1
Апаратник амонолізу ;1
Апаратник апретування ;1
"Апаратник ацеталювання (виробництво синтетичних смол, пластмас та їх перероблення) ";1
Апаратник ацетилування ;1
Апаратник ацилювання ;1
Апаратник балансових установок ;1
Апаратник білизняних сушильних установок ;1
Апаратник бісульфатування ваніліну ;1
Апаратник блочної знесолюючої установки атомної електростанції ;1
Апаратник борошномельного виробництва ;1
Апаратник бромування ;1
Апаратник бучення ;1
Апаратник вакуум-апаратів ;1
Апаратник вакуум-приймачів ;1
Апаратник вакуум-сушильної установки ;1
Апаратник вакуум-термічної печі ;1
Апаратник вакуумування ;1
Апаратник варіння живильного середовища ;1
Апаратник варіння утфелю ;1
Апаратник варіння ;1
Апаратник вибілювання ;1
Апаратник виготовлення армованих пресувальних матеріалів ;1
Апаратник виготовлення баритмаси ;1
Апаратник виготовлення гумових ниток ;1
Апаратник виготовлення нетканих скловолокнистих матеріалів ;1
Апаратник виготовлення орієнтованої плівки ;1
Апаратник виготовлення плівкових матеріалів методом поливу ;1
Апаратник виготовлення термопасти ;1
Апаратник виготовлення штучного шеєліту ;1
Апаратник виділення ацетофенону ;1
Апаратник виділення карбінолу ;1
Апаратник виділення псевдобутилену ;1
Апаратник виділення сірки ;1
Апаратник виділення фтористого бору ;1
Апаратник вилуговування ;1
Апаратник вилучення побічних продуктів ;1
Апаратник випалювання;1
Апаратник випаровування ;1
Апаратник випарювальних апаратів для одержання рідкого продукту ;1
Апаратник випарювальних апаратів для одержання твердого продукту ;1
Апаратник випарювальної установки ;1
Апаратник випарювання та гранулювання ;1
Апаратник випарювання ;1
Апаратник виробництва "аеросили" ;1
Апаратник виробництва АГ-солі ;1
Апаратник виробництва адипінової кислоти ;1
Апаратник виробництва адипонітрилу ;1
Апаратник виробництва азобарвників ;1
Апаратник виробництва альбуміну ;1
Апаратник виробництва аміачної селітри ;1
Апаратник виробництва бакелітової плівки ;1
Апаратник виробництва бактерійних препаратів ;1
Апаратник виробництва барвників для хутра ;1
Апаратник виробництва бертолетової солі ;1
Апаратник виробництва борної кислоти ;1
Апаратник виробництва бульйонних кубиків ;1
Апаратник виробництва гальмової рідини та антифризу ;1
Апаратник виробництва гематогену та медичної жовчі ;1
Апаратник виробництва гідросульфіту натрію ;1
Апаратник виробництва гірського воску ;1
Апаратник виробництва диметилтерефталату ;1
